Network,Switches,Controllers,Orig Avg SCL,Overloaded Controllers,Disturbed Switches,DDFO Avg SCL,DDFO Contr,DDFO Time,DDFO Reassgn,Full Avg SCL,Full Contr,Full Time,Full Reassgn
Bellcanada,48,9,8.428,1,6,7.885,10,4.650346,2,11.297,9,357.308939,42
Bellcanada,48,9,8.428,1,5,7.845,10,2.576878,5,11.242,9,358.658646,43
Bellcanada,48,9,8.428,1,7,8.199,10,14.746384,1,10.861,9,373.57693,41
Bellcanada,48,9,8.428,1,10,8.037,10,79.8462,10,8.297,9,393.701697,39
Bellcanada,48,9,8.428,1,5,7.845,10,2.280305,5,9.04,9,403.862467,45
Bellcanada,48,9,8.428,1,3,8.264,10,1.335359,1,10.28,9,367.507716,44
Bellcanada,48,9,8.428,1,5,7.907,10,1.977933,5,10.833,9,407.80399,43
Bellcanada,48,9,8.428,1,5,7.896,10,2.21813,3,9.661,9,413.624671,42
Bellcanada,48,9,8.428,1,5,7.896,10,1.980909,3,8.369,9,403.08473,44
Bellcanada,48,9,8.428,1,6,7.885,10,4.183995,2,10.378,9,394.064262,41
Bellcanada,48,9,8.428,1,5,7.907,10,2.039481,5,10.005,9,377.021025,44
Bellcanada,48,9,8.428,1,6,7.885,10,4.230154,2,13.373,9,359.002694,39
Bellcanada,48,9,8.428,1,5,7.896,10,2.268001,3,9.786,9,373.829165,40
Bellcanada,48,9,8.428,1,6,7.885,10,4.176741,2,10.319,9,413.534709,43
Bellcanada,48,9,8.428,1,5,7.896,10,2.210656,3,10.254,9,383.056168,37
Bellcanada,48,9,8.428,1,7,8.199,10,14.904149,1,10.032,9,395.580561,44
Bellcanada,48,9,8.428,1,10,8.033,10,107.232388,5,9.366,9,396.601054,40
Bellcanada,48,9,8.428,1,7,8.199,10,14.352861,1,9.837,9,398.374055,39
Bellcanada,48,9,8.428,1,3,8.264,10,1.409033,1,11.775,9,353.390335,38
Bellcanada,48,9,8.428,1,5,7.896,10,2.056012,3,11.968,9,361.877702,44
Bellcanada,48,9,8.428,1,10,8.004,10,109.7884,10,8.882,9,414.008885,37
Bellcanada,48,9,8.428,1,10,8.004,10,106.510136,10,8.44,9,408.502799,41
Bellcanada,48,9,8.428,1,7,8.199,10,14.760772,1,11.04,9,378.894436,41
Bellcanada,48,9,8.428,1,5,7.896,10,2.357749,3,10.029,9,384.025309,45
Bellcanada,48,9,8.428,1,5,7.896,10,2.16098,3,11.987,9,362.455931,41
Bellcanada,48,9,8.428,1,3,8.264,10,1.19989,1,10.88,9,380.617464,47
Bellcanada,48,9,8.428,1,7,8.199,10,15.871587,1,9.812,9,391.505426,45
Bellcanada,48,9,8.428,1,7,8.199,10,14.679991,1,10.466,9,384.366379,41
Bellcanada,48,9,8.428,1,10,8.004,10,74.201541,10,10.047,9,390.061505,43
Bellcanada,48,9,8.428,1,5,7.845,10,2.404162,5,12.074,9,362.728355,46
Bellcanada,48,9,8.428,1,7,8.199,10,13.672794,1,8.908,9,400.224459,45
Bellcanada,48,9,8.428,1,5,7.907,10,2.038102,5,10.251,9,378.03741,44
Bellcanada,48,9,8.428,1,10,8.004,10,100.171883,10,9.067,9,410.6001,40
Bellcanada,48,9,8.428,1,5,7.896,10,2.147169,3,10.381,9,376.130925,45
Bellcanada,48,9,8.428,1,5,8.308,10,2.195015,1,10.464,9,341.190557,37
Bellcanada,48,9,8.428,1,5,7.845,10,2.189923,5,10.524,9,380.817637,40
Bellcanada,48,9,8.428,1,5,7.907,10,1.988631,5,10.836,9,371.375993,45
Bellcanada,48,9,8.428,1,5,8.308,10,2.080604,1,10.675,9,344.209531,40
Bellcanada,48,9,8.428,1,6,7.885,10,4.67104,2,15.084,9,77.931651,42
Bellcanada,48,9,8.428,1,5,8.308,10,2.217924,1,9.901,9,368.320611,40
Bellcanada,48,9,8.428,1,5,7.896,10,2.49949,3,11,9,365.287752,36
Bellcanada,48,9,8.428,1,5,7.907,10,1.931151,5,10.38,9,382.779741,42
Bellcanada,48,9,8.428,1,6,7.885,10,4.612382,2,11.457,9,363.173312,43
Bellcanada,48,9,8.428,1,7,8.199,10,14.792237,1,10.722,9,381.195461,41
Bellcanada,48,9,8.428,1,5,8.308,10,2.077162,1,12.651,9,323.561594,44
Bellcanada,48,9,8.428,1,7,8.199,10,14.537891,1,9.228,9,394.513413,42
Bellcanada,48,9,8.428,1,5,7.845,10,2.378211,5,10.888,9,372.296963,43
Bellcanada,48,9,8.428,1,5,8.308,10,2.037018,1,9.44,9,364.264158,46
Bellcanada,48,9,8.428,1,5,8.308,10,2.219349,1,10.691,9,339.922136,44
Bellcanada,48,9,8.428,1,5,7.896,10,2.363715,3,10.722,9,376.317712,45
Bellcanada,48,9,8.428,1,5,7.845,10,2.696906,5,11.884,9,375.327963,45
Bellcanada,48,9,8.428,1,7,8.199,10,15.167933,1,9.432,9,382.373513,41
Bellcanada,48,9,8.428,1,6,7.885,10,4.546037,2,12.741,9,354.800687,41
Bellcanada,48,9,8.428,1,6,7.885,10,4.747808,2,9.423,9,387.687105,43
Bellcanada,48,9,8.428,1,5,8.309,10,2.169464,1,11.784,9,317.699758,45
Bellcanada,48,9,8.428,1,6,7.885,10,4.555299,2,11.505,9,352.933473,34
Bellcanada,48,9,8.428,1,6,7.885,10,4.687168,2,8.929,9,389.859904,45
Bellcanada,48,9,8.428,1,5,7.896,10,2.072196,3,11.06,9,401.182426,39
Bellcanada,48,9,8.428,1,5,7.907,10,2.01707,5,10.06,9,402.187682,44
