Network,Switches,Controllers,Orig Avg SCL,Disturbed Controllers,Disturbed Switches,DDFO Avg SCL,DDFO Time,DDFO Reassgn,Full Avg SCL,Full Time,Full Reassgn
Bellcanada,48,9,8.428,2,17,8.706,226.618433,17,8.861,572.52272,46
Bellcanada,48,9,8.428,2,10,8.506,64.09017,10,10.279,526.018127,45
Bellcanada,48,9,8.428,2,11,8.568,126.802547,11,10.153,496.767477,45
Bellcanada,48,9,8.428,2,15,7.458,203.907395,15,8.897,549.697138,41
Bellcanada,48,9,8.428,2,10,8.598,91.313638,10,11.388,463.5771,40
Bellcanada,48,9,8.428,2,17,8.533,199.711392,17,7.711,421.953537,47
Bellcanada,48,9,8.428,2,7,7.944,5.503825,7,9.785,386.757595,41
Bellcanada,48,9,8.428,2,7,8.538,22.859507,7,8.824,377.32337,41
Bellcanada,48,9,8.428,2,12,7.891,105.179625,12,8.668,398.681979,47
Bellcanada,48,9,8.428,2,7,7.863,12.10134,7,10.184,362.447218,45
Bellcanada,48,9,8.428,2,10,7.671,37.716579,10,10.04,357.233015,43
Bellcanada,48,9,8.428,2,11,8.031,92.176393,11,8.891,407.526686,45
Bellcanada,48,9,8.428,2,12,8.487,110.728628,12,9.52,385.822056,46
Bellcanada,48,9,8.428,2,8,8.251,20.557848,8,10.383,388.382464,43
Bellcanada,48,9,8.428,2,10,7.671,45.7215,10,8.682,373.570385,45
Bellcanada,48,9,8.428,2,17,8.706,227.82674,17,11.618,369.426681,44
Bellcanada,48,9,8.428,2,13,8.174,143.361874,13,8.657,404.192922,47
Bellcanada,48,9,8.428,2,8,8.334,27.673818,8,8.403,371.079814,43
Bellcanada,48,9,8.428,2,13,7.985,102.702771,13,8.212,392.35556,44
Bellcanada,48,9,8.428,2,7,7.863,12.082023,7,10.554,367.337446,43
Bellcanada,48,9,8.428,2,7,7.944,4.686418,7,9.471,390.727101,44
Bellcanada,48,9,8.428,2,11,8.018,75.632284,11,9.223,387.479289,43
Bellcanada,48,9,8.428,2,11,8.018,68.426547,11,8.933,391.387185,45
Bellcanada,48,9,8.428,2,8,8.334,22.752501,8,8.138,402.415937,41
Bellcanada,48,9,8.428,2,12,7.891,98.177595,12,7.959,381.249871,43
Bellcanada,48,9,8.428,2,8,8.285,22.706987,8,9.985,367.30285,47
Bellcanada,48,9,8.428,2,5,8.457,1.566359,5,10.285,372.403614,44
Bellcanada,48,9,8.428,2,16,8.565,200.027971,16,10.409,379.981989,43
Bellcanada,48,9,8.428,2,7,7.863,12.399571,7,9.955,369.59572,41
Bellcanada,48,9,8.428,2,10,7.626,44.999356,10,9.973,378.457229,43
Bellcanada,48,9,8.428,2,8,8.34,35.347444,8,10.442,373.41624,41
Bellcanada,48,9,8.428,2,8,8.334,19.772792,8,10.909,382.684811,45
Bellcanada,48,9,8.428,2,13,8.174,112.273907,13,9.706,380.146305,42
Bellcanada,48,9,8.428,2,10,8.415,41.018266,10,8.571,397.179503,45
Bellcanada,48,9,8.428,2,10,7.626,58.860051,10,9.198,380.611852,39
Bellcanada,48,9,8.428,2,7,7.944,4.541705,7,8.775,388.27818,43
Bellcanada,48,9,8.428,2,9,8.537,69.461868,9,9.78,407.893483,42
Bellcanada,48,9,8.428,2,10,8.364,44.101607,10,11.544,363.179583,44
Bellcanada,48,9,8.428,2,15,8.632,191.19163,15,10.949,384.820694,43
Bellcanada,48,9,8.428,2,10,8.506,48.861334,10,9.977,374.945463,43
Bellcanada,48,9,8.428,2,10,8.415,30.632709,10,9.32,373.169658,39
Bellcanada,48,9,8.428,2,17,8.536,209.20988,17,8.439,404.741154,41
Bellcanada,48,9,8.428,2,10,8.364,52.377183,10,8.941,357.300078,46
Bellcanada,48,9,8.428,2,10,7.626,45.527264,10,9.25,386.801426,44
Bellcanada,48,9,8.428,2,15,8.363,191.17364,15,9.236,406.61003,45
Bellcanada,48,9,8.428,2,15,7.449,105.699871,15,8.783,405.730323,41
Bellcanada,48,9,8.428,2,8,8.251,19.874362,8,10.289,374.057185,42
Bellcanada,48,9,8.428,2,8,8.285,22.281786,8,8.718,381.347882,43
Bellcanada,48,9,8.428,2,7,7.863,11.860802,7,8.138,385.856267,43
Bellcanada,48,9,8.428,2,15,7.449,140.315878,15,9.199,386.908414,43
Bellcanada,48,9,8.428,2,12,7.891,102.881359,12,9.898,405.279375,42
Bellcanada,48,9,8.428,2,7,7.944,4.772155,7,11.318,353.48772,43
