Network,Switches,Controllers,Orig Avg SCL,Overloaded Controllers,Disturbed Switches,DDFO Avg SCL,DDFO Contr,DDFO Time,DDFO Reassgn,Full Avg SCL,Full Contr,Full Time,Full Reassgn
Geant,37,6,8.435,1,10,7.452,7,83.857436,2,9.449,6,341.654371,27
Geant,37,6,8.435,1,5,8.151,7,2.32735,2,8.975,6,340.244643,25
Geant,37,6,8.435,1,8,7.981,7,31.380048,2,9.531,6,366.257046,25
Geant,37,6,8.435,1,7,7.925,7,39.121044,4,8.327,6,364.482176,23
Geant,37,6,8.435,1,5,8.151,7,2.394805,2,8.3,6,346.320396,25
Geant,37,6,8.435,1,7,7.925,7,53.985375,4,8.045,6,362.112402,28
Geant,37,6,8.435,1,8,7.981,7,31.775883,2,8.442,6,371.992403,24
Geant,37,6,8.435,1,7,7.925,7,47.768529,4,8.945,6,350.49109,25
Geant,37,6,8.435,1,8,7.981,7,31.626634,2,7.812,6,363.440761,26
Geant,37,6,8.435,1,7,7.925,7,62.504425,4,9.522,6,347.493868,33
Geant,37,6,8.435,1,8,7.981,7,32.6935,2,9.279,6,353.339396,31
Geant,37,6,8.435,1,7,7.925,7,39.396136,4,8.448,6,362.055654,30
Geant,37,6,8.435,1,5,8.151,7,2.235616,2,8.742,6,348.397821,22
Geant,37,6,8.435,1,5,8.151,7,2.44188,2,9.273,6,331.612493,24
Geant,37,6,8.435,1,5,8.151,7,2.338719,2,9.012,6,338.876241,28
Geant,37,6,8.435,1,5,8.151,7,2.53963,2,8.851,6,331.199255,30
Geant,37,6,8.435,1,7,7.925,7,43.486179,4,8.395,6,363.456519,29
Geant,37,6,8.435,1,5,8.151,7,2.297266,2,9.566,6,346.068191,31
Geant,37,6,8.435,1,10,7.452,7,108.044159,2,8.173,6,373.82912,31
Geant,37,6,8.435,1,10,7.452,7,139.066703,2,8.535,6,372.993593,29
Geant,37,6,8.435,1,7,7.925,7,56.675945,4,8.156,6,349.723325,29
Geant,37,6,8.435,1,7,7.925,7,35.760055,4,9.383,6,352.07821,36
Geant,37,6,8.435,1,7,7.925,7,43.557413,4,8.647,6,360.916163,26
Geant,37,6,8.435,1,7,7.925,7,44.180333,4,9.065,6,347.300319,28
Geant,37,6,8.435,1,8,7.981,7,35.587435,2,8.838,6,366.042954,32
Geant,37,6,8.435,1,7,7.925,7,39.378186,4,10.052,6,340.368938,37
Geant,37,6,8.435,1,10,7.452,7,89.96916,2,9.603,6,370.707849,26
Geant,37,6,8.435,1,7,7.925,7,52.344217,4,9.049,6,360.368418,36
Geant,37,6,8.435,1,10,7.452,7,80.43631,10,8.28,6,370.273896,22
Geant,37,6,8.435,1,5,8.151,7,2.379282,2,9.189,6,348.861585,31
Geant,37,6,8.435,1,7,7.925,7,44.033973,4,7.992,6,371.344515,22
Geant,37,6,8.435,1,5,8.151,7,2.264967,2,7.943,6,352.741285,32
Geant,37,6,8.435,1,8,7.981,7,32.329,2,7.717,6,374.621135,25
Geant,37,6,8.435,1,10,7.452,7,92.157807,2,8.616,6,374.396665,20
Geant,37,6,8.435,1,7,7.925,7,39.674702,4,8.557,6,368.334598,28
Geant,37,6,8.435,1,7,7.925,7,45.784825,4,9.415,6,338.22598,27
Geant,37,6,8.435,1,10,7.452,7,88.753574,2,8.822,6,406.425033,29
Geant,37,6,8.435,1,5,8.151,7,7.014308,2,9.131,6,408.971603,26
Geant,37,6,8.435,1,5,8.151,7,2.356365,2,8.845,6,413.060408,28
Geant,37,6,8.435,1,7,7.925,7,41.033231,4,8.445,6,421.391835,27
Geant,37,6,8.435,1,5,8.151,7,2.632474,2,8.808,6,409.589833,28
Geant,37,6,8.435,1,5,8.151,7,2.574711,2,9.1,6,389.140312,25
Geant,37,6,8.435,1,7,7.925,7,72.506227,4,8.557,6,450.629711,28
Geant,37,6,8.435,1,10,7.452,7,143.720259,2,8.661,6,460.60116,34
Geant,37,6,8.435,1,8,7.981,7,33.612714,2,8.664,6,374.287253,28
Geant,37,6,8.435,1,8,7.981,7,36.438568,2,8.405,6,431.948723,32
Geant,37,6,8.435,1,10,7.452,7,99.828938,2,8.705,6,410.248087,26
Geant,37,6,8.435,1,5,8.151,7,2.508038,2,8.651,6,388.830336,28
Geant,37,6,8.435,1,8,7.981,7,40.195398,2,8.764,6,443.198657,30
Geant,37,6,8.435,1,5,8.151,7,3.35562,2,8.083,6,416.490944,23
