Network,Switches,Controllers,Orig Avg SCL,Disturbed Controllers,Disturbed Switches,DDFO Avg SCL,DDFO Time,DDFO Reassgn,Full Avg SCL,Full Time,Full Reassgn
Geant,37,6,8.435,2,15,8.54,201.939001,15,7.791,372.092119,37
Geant,37,6,8.435,2,7,8.09,12.10412,7,8.017,448.99559,26
Geant,37,6,8.435,2,7,8.09,27.410204,7,8.254,900.184902,23
Geant,37,6,8.435,2,12,8.416,121.479187,12,8.359,385.047422,27
Geant,37,6,8.435,2,12,8.805,102.010917,12,8.262,380.568225,35
Geant,37,6,8.435,2,7,8.09,11.976184,7,7.791,401.149959,26
Geant,37,6,8.435,2,12,8.415,92.039718,12,8.23,357.335872,26
Geant,37,6,8.435,2,18,8.838,236.783803,18,7.842,378.316597,35
Geant,37,6,8.435,2,15,8.54,184.112105,15,9.108,356.459106,35
Geant,37,6,8.435,2,10,8.284,78.510992,10,7.544,364.494422,31
Geant,37,6,8.435,2,15,8.514,135.995188,15,7.449,375.915969,30
Geant,37,6,8.435,2,15,8.54,207.663206,15,8.105,367.662807,34
Geant,37,6,8.435,2,12,8.805,84.662191,12,7.955,372.367807,26
Geant,37,6,8.435,2,13,7.66,111.993099,13,7.966,375.420504,29
Geant,37,6,8.435,2,14,7.47,145.059699,14,8.56,371.203996,28
Geant,37,6,8.435,2,12,8.805,93.850604,12,7.627,370.462701,31
Geant,37,6,8.435,2,12,8.415,100.973928,12,8.558,374.464799,25
Geant,37,6,8.435,2,11,8.866,71.550789,11,9.076,364.177373,34
Geant,37,6,8.435,2,8,8.857,15.055783,8,8.316,367.640201,29
Geant,37,6,8.435,2,11,8.866,79.812856,11,8.335,377.797172,29
Geant,37,6,8.435,2,14,7.47,177.618695,14,9.091,358.772854,33
Geant,37,6,8.435,2,10,8.198,112.28565,10,7.201,377.818398,22
Geant,37,6,8.435,2,11,8.286,116.196178,11,8.405,375.678583,28
Geant,37,6,8.435,2,13,8.949,85.369167,13,8.137,363.96559,31
Geant,37,6,8.435,2,17,7.671,216.714245,17,7.24,375.314271,25
Geant,37,6,8.435,2,12,8.415,100.732657,12,8.37,371.493414,25
Geant,37,6,8.435,2,15,8.511,196.796506,15,7.8,372.596768,26
Geant,37,6,8.435,2,13,7.78,119.102186,13,7.316,372.052269,27
Geant,37,6,8.435,2,13,7.518,104.396419,13,7.362,376.853168,25
Geant,37,6,8.435,2,12,8.805,103.458044,12,8.109,372.695362,27
Geant,37,6,8.435,2,17,7.808,218.682171,17,8.533,371.543376,24
Geant,37,6,8.435,2,12,8.805,105.778092,12,8.159,365.941421,36
Geant,37,6,8.435,2,15,8.424,186.827279,15,7.997,378.879281,25
Geant,37,6,8.435,2,10,8.284,85.996549,10,7.403,377.087932,27
Geant,37,6,8.435,2,13,8.949,66.925337,13,9.001,369.890666,34
Geant,37,6,8.435,2,18,9.219,202.051434,18,7.653,374.497116,30
Geant,37,6,8.435,2,11,8.866,66.013335,11,8.111,372.36723,36
Geant,37,6,8.435,2,15,8.54,235.287647,15,7.819,389.719634,33
Geant,37,6,8.435,2,8,8.857,14.765233,8,8.104,369.744048,29
Geant,37,6,8.435,2,18,8.991,226.927456,18,7.662,368.758047,32
Geant,37,6,8.435,2,14,7.47,198.193706,14,8.048,370.28989,23
Geant,37,6,8.435,2,10,8.198,77.169302,10,8.036,376.440368,25
Geant,37,6,8.435,2,12,8.415,100.914741,12,8.09,364.843231,31
Geant,37,6,8.435,2,15,8.54,174.342897,15,8.744,377.196817,36
Geant,37,6,8.435,2,12,8.415,130.72997,12,7.604,374.836083,33
Geant,37,6,8.435,2,10,8.198,96.707378,10,8.363,379.16461,21
Geant,37,6,8.435,2,15,8.446,213.110064,15,7.514,372.384909,27
Geant,37,6,8.435,2,7,8.09,12.265476,7,7.359,362.82149,33
Geant,37,6,8.435,2,7,8.09,11.490958,7,7.102,368.612294,21
Geant,37,6,8.435,2,9,8.573,41.923461,9,8.468,374.197655,33
Geant,37,6,8.435,2,13,9.37,80.622614,13,8.062,368.708327,34
