Network,Switches,Controllers,Orig Avg SCL,Overloaded Controllers,Disturbed Switches,DDFO Avg SCL,DDFO Contr,DDFO Time,DDFO Reassgn,Full Avg SCL,Full Contr,Full Time,Full Reassgn
Latnet,69,9,1.139,1,10,1.112,10,60.891182,7,1.249,9,158.195501,66
Latnet,69,9,1.139,1,10,1.112,10,77.26978,7,1.104,9,463.711115,64
Latnet,69,9,1.139,1,13,1.109,10,91.073106,3,1.071,9,488.23687,65
Latnet,69,9,1.139,1,9,1.053,10,49.841905,9,1.24,9,147.22027,67
Latnet,69,9,1.139,1,5,1.118,10,2.983561,5,1.224,9,427.474509,64
Latnet,69,9,1.139,1,13,1.109,10,93.343052,3,1.08,9,453.454559,65
Latnet,69,9,1.139,1,10,1.112,10,80.901613,7,1.051,9,475.461586,62
Latnet,69,9,1.139,1,10,1.123,10,84.209689,1,1.092,9,460.782482,63
Latnet,69,9,1.139,1,7,1.121,10,14.790123,7,1.214,9,434.512443,68
Latnet,69,9,1.139,1,9,1.053,10,58.77614,9,1.13,9,439.731435,58
Latnet,69,9,1.139,1,11,1.066,10,97.357322,11,1.043,9,466.60707,64
Latnet,69,9,1.139,1,5,1.118,10,3.809327,5,1.149,9,529.513756,57
Latnet,69,9,1.139,1,13,1.109,10,142.441015,3,1.157,10,163.319944,63
Latnet,69,9,1.139,1,5,1.118,10,3.11416,5,1.25,9,217.439242,63
Latnet,69,9,1.139,1,5,1.118,10,3.20825,5,1.262,9,188.956172,65
Latnet,69,9,1.139,1,13,1.109,10,119.307601,3,1.038,9,539.193974,66
Latnet,69,9,1.139,1,10,1.123,10,93.456988,1,1.004,9,532.530015,68
Latnet,69,9,1.139,1,13,1.109,10,103.138293,3,1.092,9,503.113087,65
Latnet,69,9,1.139,1,10,1.112,10,68.232262,7,1.101,9,491.972466,68
Latnet,69,9,1.139,1,5,1.118,10,3.784794,5,1.184,9,280.707105,67
Latnet,69,9,1.139,1,5,1.118,10,3.040288,5,1.192,9,461.473411,67
Latnet,69,9,1.139,1,10,1.112,10,79.727354,7,1.086,9,461.644333,68
Latnet,69,9,1.139,1,10,1.112,10,76.419294,7,1.127,9,448.140474,67
Latnet,69,9,1.139,1,11,1.066,10,113.050735,11,1.085,9,481.695318,64
Latnet,69,9,1.139,1,13,1.109,10,121.344204,3,1.036,9,477.157233,64
Latnet,69,9,1.139,1,5,1.118,10,3.433239,5,1.263,9,153.3067,62
Latnet,69,9,1.139,1,11,1.072,10,108.530665,4,1.137,9,463.158191,68
Latnet,69,9,1.139,1,5,1.118,10,3.234459,5,1.246,9,160.233773,65
Latnet,69,9,1.139,1,11,1.068,10,118.702467,8,0.992,9,503.988664,64
Latnet,69,9,1.139,1,5,1.118,10,3.192062,5,1.262,9,165.964735,66
Latnet,69,9,1.139,1,9,1.053,10,57.599454,9,1.166,9,171.793205,66
Latnet,69,9,1.139,1,5,1.118,10,3.347622,5,1.208,11,115.174386,67
Latnet,69,9,1.139,1,10,1.112,10,80.81492,7,1.129,9,456.214967,66
Latnet,69,9,1.139,1,13,1.109,10,105.796493,3,1.103,9,501.284113,66
Latnet,69,9,1.139,1,13,1.109,10,121.462236,3,1.105,9,516.747611,67
Latnet,69,9,1.139,1,10,1.112,10,61.682639,7,1.085,9,487.69138,57
Latnet,69,9,1.139,1,7,1.11,10,16.342221,7,1.126,9,488.034806,68
Latnet,69,9,1.139,1,5,1.118,10,3.446828,5,1.112,9,518.926361,64
Latnet,69,9,1.139,1,10,1.112,10,77.369104,7,1.026,9,511.251454,63
Latnet,69,9,1.139,1,5,1.118,10,4.926868,5,1.138,9,473.217102,63
Latnet,69,9,1.139,1,10,1.112,10,78.403083,7,1.054,9,518.760558,68
Latnet,69,9,1.139,1,11,1.068,10,112.903814,8,1.052,9,536.497491,65
Latnet,69,9,1.139,1,7,1.11,10,15.274872,7,1.112,9,509.401954,63
Latnet,69,9,1.139,1,10,1.112,10,67.860852,7,1.104,9,393.163202,63
Latnet,69,9,1.139,1,13,1.109,10,115.295124,3,1.069,9,496.750288,67
Latnet,69,9,1.139,1,9,1.053,10,68.269574,9,1.105,9,511.251226,64
Latnet,69,9,1.139,1,13,1.109,10,126.380626,3,1.051,9,460.28518,61
Latnet,69,9,1.139,1,9,1.053,10,55.90856,9,1.004,9,508.626704,59
Latnet,69,9,1.139,1,10,1.124,10,72.731087,3,1.094,9,476.64281,61
Latnet,69,9,1.139,1,5,1.118,10,3.258857,5,1.147,9,475.643752,60
